year,median_household_income,total_population
2000,4000.0,4027887.0
2001,4141.0,4138012.0
2002,4038.0,4175950.0
2003,4050.0,4114826.0
2004,4106.0,4166664.0
2005,4345.0,4265762.0
2006,4495.0,4401365.0
2007,4883.0,4588599.0
2008,5475.0,4839396.0
2009,5398.0,4987573.0
2010,5704.0,5076732.0
2011,6286.0,5183688.0
2012,6712.0,5312437.0
2013,7000.0,5399162.0
2014,7400.0,5469724.0
2015,7624.0,5535002.0
2016,7791.0,5607283.0
2017,7956.0,5612253.0
2018,8169.0,5638676.0
2019,8333.0,5703569.0
2020,8092.0,5685807.0
2021,8421.0,5453566.0
2022,8904.0,5637022.0
2023,9646.0,5917648.0
2024,9999.0,6036860.0
2025,10591.0,6111175.0
